,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
4,AdaBoost,min,0.2,0.7827028828528578,0.5083832335329341,0.6373873873873874,0.5656229180546303,0.7654375061924785
5,AdaBoost,min,0.25,0.7859936011375755,0.5199750312109863,0.6569400630914827,0.5804878048780487,0.7654375061924785
6,AdaBoost,min,0.3,0.7908969720053323,0.5349604221635884,0.6735880398671097,0.5963235294117647,0.7654375061924785
7,AdaBoost,min,0.35000000000000003,0.794298605414274,0.5488826815642458,0.6876640419947506,0.6104854368932039,0.7654375061924785
8,AdaBoost,min,0.4,0.803821373028216,0.5649546827794562,0.7090047393364929,0.6288356452290879,0.7654375061924785
9,AdaBoost,min,0.45,0.8145904023267087,0.5870108243130724,0.7238193018480493,0.6482758620689655,0.7654375061924785
10,AdaBoost,min,0.5,0.8237803252466009,0.6131386861313869,0.7392739273927392,0.6703241895261846,0.7654375061924785
11,AdaBoost,min,0.55,0.8311611374407583,0.6343873517786561,0.7624703087885986,0.6925566343042071,0.7654375061924785
12,AdaBoost,min,0.6,0.8360546484505165,0.651578947368421,0.7935897435897435,0.715606936416185,0.7654375061924785
13,AdaBoost,min,0.65,0.8415841584158416,0.6666666666666666,0.8314606741573034,0.74,0.7654375061924785
14,AdaBoost,min,0.7000000000000001,0.8400710795202132,0.6801909307875895,0.8610271903323263,0.76,0.7654375061924785
15,AdaBoost,min,0.75,0.8326226012793176,0.6923076923076923,0.8869143780290791,0.7776203966005666,0.7654375061924785
16,AdaBoost,min,0.8,0.8307794803464357,0.7090395480225988,0.9127272727272727,0.7980922098569158,0.7654375061924785
17,AdaBoost,min,0.85,0.8232682060390764,0.7248764415156508,0.9322033898305084,0.8155699721964782,0.7654375061924785
18,AdaBoost,min,0.9,0.8149134487350199,0.7415254237288136,0.9536784741144414,0.834326579261025,0.7654375061924785
19,AdaBoost,min,0.9500000000000001,0.7872340425531915,0.7433333333333333,0.9867256637168141,0.8479087452471483,0.7654375061924785
0,XGBoost,min,0.0,0.7933608852153047,0.5357377049180327,0.4924653405666064,0.5131909547738693,0.8343616414073883
1,XGBoost,min,0.05,0.8076059500420993,0.5672862453531599,0.49162371134020616,0.5267518122195375,0.8343616414073883
2,XGBoost,min,0.1,0.8179528958672789,0.5870479394449117,0.4860724233983287,0.5318095238095238,0.8343616414073883
3,XGBoost,min,0.15,0.8274780426599749,0.6082375478927203,0.47888386123680243,0.5358649789029536,0.8343616414073883
4,XGBoost,min,0.2,0.8400266622229628,0.6409140369967355,0.4831829368334701,0.5509822263797942,0.8343616414073883
5,XGBoost,min,0.25,0.8490934944898685,0.660122699386503,0.4846846846846847,0.558961038961039,0.8343616414073883
6,XGBoost,min,0.3,0.8590744620072367,0.6847977684797768,0.48855721393034823,0.570267131242741,0.8343616414073883
7,XGBoost,min,0.35000000000000003,0.8648482362592289,0.690251572327044,0.4872364039955605,0.5712426805465192,0.8343616414073883
8,XGBoost,min,0.4,0.8715840924239058,0.7150635208711433,0.4834355828220859,0.5768667642752562,0.8343616414073883
9,XGBoost,min,0.45,0.8749394086282113,0.7131147540983607,0.48066298342541436,0.5742574257425742,0.8343616414073883
10,XGBoost,min,0.5,0.8821647560650493,0.7338129496402878,0.4803767660910518,0.5806451612903226,0.8343616414073883
11,XGBoost,min,0.55,0.8874407582938388,0.7506702412868632,0.49382716049382713,0.5957446808510638,0.8343616414073883
